time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-16T13:41:34.150Z,-31.0149,-71.3309,24.68,4.6,mb,,135,0.34,0.83,us,us20005a5t,2016-05-21T00:05:33.040Z,"47 km SSW of Ovalle, Chile",earthquake,5.5,7.7,0.207,7,reviewed,us,us
2016-03-16T04:06:58.670Z,-31.2361,-71.7993,35.48,4.2,mb,,190,0.578,0.67,us,us20005a3f,2016-05-21T00:05:33.040Z,"74 km NW of Illapel, Chile",earthquake,5.1,6.5,0.236,5,reviewed,us,us
2016-03-16T03:59:42.900Z,-31.2338,-71.8383,25.48,4.4,mwr,,149,0.584,1.01,us,us20005a3d,2016-05-21T00:05:33.040Z,"77 km NW of Illapel, Chile",earthquake,4.2,3.4,0.036,73,reviewed,us,us
2016-03-16T03:49:32.850Z,-31.241,-71.7314,25.41,5.3,mww,,92,0.571,0.76,us,us20005a3a,2022-08-07T10:19:17.547Z,"68 km NW of Illapel, Chile",earthquake,4.6,3.5,,,reviewed,us,us
2016-03-15T11:44:44.670Z,-30.1776,-71.9575,21.79,4.5,mb,,183,0.567,0.76,us,us10004xrl,2016-05-21T00:05:32.040Z,"64 km WSW of Coquimbo, Chile",earthquake,3.5,7.9,0.313,3,reviewed,us,us
2016-03-15T04:41:20.990Z,-31.4589,-71.7462,40.51,4.3,mb,,165,0.687,0.68,us,us10004xp5,2016-05-21T00:05:32.040Z,"58 km WNW of Illapel, Chile",earthquake,5,13.1,0.217,6,reviewed,us,us
2016-03-14T13:21:53.000Z,-30.722,-71.631,33.7,4.5,mb,,,,1.82,us,us10004xee,2016-05-21T00:05:30.040Z,"43 km WSW of Ovalle, Chile",earthquake,4.5,5.9,0.384,2,reviewed,guc,us
2016-03-12T16:05:15.180Z,-30.2495,-71.6502,36.83,5.1,mww,,117,0.423,1.27,us,us10004x18,2022-08-02T14:14:27.968Z,"44 km SW of Coquimbo, Chile",earthquake,2.5,4.6,,,reviewed,us,us
2016-03-09T13:28:11.870Z,-30.4412,-71.3451,49.66,4.8,mww,,96,0.341,0.54,us,us10004w9z,2022-08-02T13:39:57.663Z,"22 km NW of Ovalle, Chile",earthquake,6.8,4.6,,,reviewed,us,us
2016-03-09T09:40:47.840Z,-30.7239,-71.3877,41.42,4.2,mb,,97,0.218,0.57,us,us10004w94,2016-05-16T18:01:49.040Z,"22 km SW of Ovalle, Chile",earthquake,3.1,7.2,0.2,7,reviewed,us,us
2016-03-08T01:27:48.980Z,-31.781,-71.4149,43.72,4.1,mb,,141,0.675,0.8,us,us10004wrr,2016-05-16T18:01:48.040Z,"28 km SW of Illapel, Chile",earthquake,5.2,5.1,0.234,5,reviewed,us,us
2016-03-03T13:47:16.350Z,-30.0763,-71.4726,35,4.2,mb,,177,0.256,1.41,us,us10004ucr,2016-05-06T23:34:25.040Z,"18 km SW of Coquimbo, Chile",earthquake,4.3,2,0.236,5,reviewed,us,us
2016-03-01T23:03:37.760Z,-31.795,-72.1835,19.86,4,mb,,181,1.071,0.88,us,us10004ty3,2016-05-06T23:34:22.040Z,"97 km W of Illapel, Chile",earthquake,5.3,4.2,0.259,4,reviewed,us,us
2016-03-01T09:15:30.910Z,-30.6321,-71.7533,40.98,4,ml,,181,0.11,1.17,us,us10004tsa,2016-05-06T23:34:21.040Z,"53 km W of Ovalle, Chile",earthquake,5.8,15.6,,,reviewed,us,guc
2016-02-29T17:17:01.660Z,-31.5464,-72.2444,10,4.2,mwr,,142,1.014,0.93,us,us10004tld,2016-05-06T23:34:20.040Z,"102 km W of Illapel, Chile",earthquake,2.3,1.9,0.048,41,reviewed,us,us
2016-02-26T23:34:06.510Z,-30.8496,-72.7285,4.22,3.7,mwr,,147,0.957,0.87,us,us10004u1q,2016-05-06T23:34:14.040Z,"149 km W of Ovalle, Chile",earthquake,2.1,5.3,0.073,18,reviewed,us,us
