time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-09-14T03:19:40.000Z,-29.821,-71.197,64.5,4,mb,,,,1.35,us,us20003j8r,2015-12-12T00:42:51.040Z,"10 km NNE of La Serena, Chile",earthquake,4.1,6.8,0.366,2,reviewed,guc,us
2015-08-26T23:49:19.450Z,-29.7014,-71.4158,51.14,4.3,mb,,135,0.265,1.24,us,us1000356x,2022-08-01T02:03:34.010Z,"27 km NW of La Serena, Chile",earthquake,5.7,5,0.266,4,reviewed,us,us
2015-08-25T06:16:39.040Z,-29.663,-71.4373,52,4.5,mb,,88,0.307,1.32,us,us100034ns,2015-11-24T02:09:34.040Z,"32 km NW of La Serena, Chile",earthquake,5.4,6.1,0.066,68,reviewed,us,us
2015-08-24T05:13:49.000Z,-29.882,-71.252,44.7,4.8,mb,,,,1.09,us,us100034f1,2022-08-01T01:33:33.795Z,"2 km N of La Serena, Chile",earthquake,4.8,3.6,0.04,189,reviewed,guc,us
2015-08-24T02:42:48.000Z,-29.844,-71.239,44.9,4.2,mb,,,,1,us,us100034eh,2022-08-01T01:30:41.542Z,"6 km N of La Serena, Chile",earthquake,6.8,5.1,0.153,12,reviewed,guc,us
2015-08-23T23:10:04.420Z,-29.7191,-71.2958,31.11,5.7,mww,,33,0.205,1.01,us,us100034du,2022-05-03T17:29:01.676Z,"21 km NNW of La Serena, Chile",earthquake,4.5,2.9,,,reviewed,us,us
2015-08-12T00:14:40.320Z,-31.6968,-71.6227,30,5.5,mww,,45,0.724,1,us,us100031b7,2022-05-03T17:28:40.129Z,"43 km W of Illapel, Chile",earthquake,5.1,1.8,,,reviewed,us,us
2015-08-06T05:28:55.910Z,-31.7636,-72.2219,14.55,4.1,mwr,,153,1.183,0.71,us,us10002z19,2015-11-06T18:06:19.040Z,"100 km W of Illapel, Chile",earthquake,3.3,4.8,0.052,35,reviewed,us,us
2015-08-01T19:53:49.000Z,-31.964,-71.198,65,4.1,mb,,,,0.78,us,us10002x7t,2015-10-30T02:47:42.040Z,"30 km SW of Salamanca, Chile",earthquake,5.8,6.2,0.185,8,reviewed,guc,us
2015-07-23T17:28:05.000Z,-31.913,-71.103,65.1,4.1,mb,,,,1.41,us,us20002zkm,2015-10-22T20:04:54.040Z,"19 km SW of Salamanca, Chile",earthquake,6,6,0.198,7,reviewed,guc,us
2015-07-22T00:04:19.000Z,-32.221,-71.703,32.3,4,mwr,,,,1.13,us,us20002z3d,2015-10-14T21:05:49.040Z,"51 km WNW of La Ligua, Chile",earthquake,5.1,4.2,0.05,39,reviewed,guc,us
2015-07-20T19:47:25.000Z,-31.688,-71.967,29.4,4.5,mb,,,,1.11,us,us100030tb,2015-10-14T21:05:47.040Z,"75 km W of Illapel, Chile",earthquake,7.4,5.3,0.312,3,reviewed,guc,us
2015-07-19T21:08:46.000Z,-31.713,-71.806,32,4.2,mwr,,,,1.2,us,us20002yk8,2015-10-14T21:05:45.040Z,"60 km W of Illapel, Chile",earthquake,3.6,6,0.068,21,reviewed,guc,us
2015-07-19T05:49:54.000Z,-31.725,-71.903,25,4.2,mb,,,,0.9,us,us20002ygu,2015-10-14T21:05:43.040Z,"70 km W of Illapel, Chile",earthquake,5,5.5,0.306,4,reviewed,guc,us
2015-07-16T10:48:04.930Z,-29.5,-71.8098,7.66,5,mww,,101,1.084,0.96,us,us20002xvy,2022-07-31T18:53:56.116Z,"67 km NW of Coquimbo, Chile",earthquake,4.5,3.9,,,reviewed,us,us
2015-07-12T06:54:49.000Z,-32.085,-71.16,63.6,4.1,mb,,,,0.46,us,us20002wwk,2022-07-31T18:08:53.196Z,"38 km SSW of Salamanca, Chile",earthquake,4,6.2,0.233,5,reviewed,guc,us
2015-07-06T07:32:09.000Z,-30.911,-71.513,74.3,4,mb,,,,1.42,us,us10002nm9,2015-09-30T00:20:58.040Z,"45 km SW of Ovalle, Chile",earthquake,5.9,6.3,0.212,6,reviewed,guc,us
2015-07-05T22:24:11.000Z,-31.581,-71.76,27.8,4.2,mb,,,,0.65,us,us20002zhz,2015-09-30T00:20:57.040Z,"56 km W of Illapel, Chile",earthquake,5.3,6.5,0.264,4,reviewed,guc,us
