time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-08-26T01:52:12.000Z,-34.666,-73.189,34.6,4,mb,26,140.3,,,us,usp000hjsd,2014-11-07T01:42:17.968Z,"102 km NW of Constitución, Chile",earthquake,,,,3,reviewed,guc,us
2010-08-25T23:40:22.000Z,-35.219,-72.171,8.8,4.2,ml,16,127.1,,,us,usp000hjs9,2014-11-07T01:42:17.957Z,"25 km ENE of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2010-08-25T22:34:56.000Z,-38.011,-73.082,15,4.6,mb,16,152.2,,,us,usp000hjs6,2014-11-07T01:42:17.941Z,"36 km SE of Cañete, Chile",earthquake,,,,3,reviewed,guc,us
2010-08-25T13:14:37.640Z,-35.089,-72.246,31.7,5,mb,25,116.4,,0.94,us,usp000hjrm,2014-11-07T01:42:17.864Z,"31 km NNE of Constitución, Chile",earthquake,,,,2,reviewed,us,us
2010-08-24T07:34:31.060Z,-37.289,-74.549,35,4.3,mb,26,116.3,,0.91,us,usp000hjpb,2014-11-07T01:42:17.523Z,"86 km WNW of Lebu, Chile",earthquake,,,,10,reviewed,us,us
2010-08-22T03:49:58.000Z,-36.532,-73.718,19.1,5,mb,150,69.6,,,us,usp000hjkp,2022-07-18T18:56:18.120Z,"57 km WNW of Talcahuano, Chile",earthquake,,,,78,reviewed,guc,us
2010-08-22T03:11:57.000Z,-39.075,-73.257,28.2,4,ml,5,183.6,,,us,usp000hjkm,2014-11-07T01:42:17.012Z,"41 km SSW of Carahue, Chile",earthquake,,,,,reviewed,guc,guc
2010-08-22T01:25:41.000Z,-34.757,-71.717,46.6,4.5,mb,51,114.6,,,us,usp000hjke,2022-07-18T18:54:43.363Z,"34 km WSW of Santa Cruz, Chile",earthquake,,,,19,reviewed,guc,us
2010-08-21T05:32:15.000Z,-35.2,-72.053,42.8,4.3,m,4,164.5,,,us,usp000hjj6,2014-11-07T01:42:16.493Z,"35 km ENE of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2010-08-20T19:51:39.000Z,-34.884,-71.792,36.4,0,,4,161.7,,,us,usp000hjhe,2014-11-07T01:42:16.363Z,"43 km W of Rauco, Chile",earthquake,,,,,reviewed,guc,us
2010-08-20T17:26:28.000Z,-36.805,-73.069,31,4.5,ml,10,143,,,us,usp000hjh7,2014-11-07T01:42:16.325Z,"2 km NW of Concepción, Chile",earthquake,,,,,reviewed,guc,guc
2010-08-19T15:44:39.980Z,-33.465,-72.256,4.6,4.3,mb,20,121.4,,1.49,us,usp000hjff,2014-11-07T01:42:16.042Z,"61 km W of Cartagena, Chile",earthquake,,32.7,,5,reviewed,us,us
2010-08-18T12:57:15.000Z,-34.722,-71.755,42.5,4.5,mb,7,144.8,,,us,usp000hjd4,2014-11-07T01:42:15.752Z,"36 km WSW of Santa Cruz, Chile",earthquake,,,,3,reviewed,guc,us
2010-08-18T06:24:59.000Z,-37.166,-74.214,27.1,4.9,ml,18,153.1,,,us,usp000hjcs,2014-11-07T01:42:15.708Z,"69 km NW of Lebu, Chile",earthquake,,,,,reviewed,guc,guc
2010-08-17T13:40:15.720Z,-37.158,-73.939,22.5,4.5,mb,15,122.8,,0.99,us,usp000hjbc,2014-11-07T01:42:15.560Z,"56 km NNW of Lebu, Chile",earthquake,,22.6,,2,reviewed,us,us
2010-08-17T07:53:13.000Z,-34.574,-71.841,11.6,4.1,mb,19,116.3,,,us,usp000hjb1,2014-11-07T01:42:15.488Z,"44 km W of Santa Cruz, Chile",earthquake,,,,7,reviewed,guc,us
2010-08-16T19:49:17.220Z,-38.011,-73.469,34.6,4.7,mb,16,203.6,,0.97,us,usp000hjag,2014-11-07T01:42:15.372Z,"24 km SSW of Cañete, Chile",earthquake,,22.6,,2,reviewed,us,us
2010-08-16T18:37:57.200Z,-33.621,-72.042,23.5,4.4,mb,21,116,,1.12,us,usp000hjac,2014-11-07T01:42:15.306Z,"40 km W of San Antonio, Chile",earthquake,,25.4,,3,reviewed,us,us
2010-08-15T10:40:21.000Z,-34.339,-72.158,28,4.3,ml,6,176,,,us,usp000hj83,2014-11-07T01:42:14.974Z,"80 km WNW of Santa Cruz, Chile",earthquake,,,,,reviewed,guc,guc
2010-08-15T07:50:36.090Z,-36.814,-71.101,8.9,5.2,mwc,187,73.5,,0.89,us,usp000hj7w,2022-07-18T18:35:47.176Z,"36 km WNW of Las Ovejas, Argentina",earthquake,,11.6,,,reviewed,us,gcmt
2010-08-14T14:40:21.000Z,-34.739,-71.804,41.9,4.7,mb,17,119.3,,,us,usp000hj5d,2014-11-07T01:42:14.498Z,"41 km WSW of Santa Cruz, Chile",earthquake,,,,2,reviewed,guc,us
2010-08-14T13:30:56.000Z,-34.142,-72.34,7.1,4,ml,7,183.2,,,us,usp000hj57,2014-11-07T01:42:14.477Z,"90 km SW of San Antonio, Chile",earthquake,,,,,reviewed,guc,guc
2010-08-14T05:04:10.010Z,-37.888,-73.794,35,4.2,mb,15,152.8,,1.25,us,usp000hj3m,2014-11-07T01:42:14.250Z,"33 km SSW of Lebu, Chile",earthquake,,,,4,reviewed,us,us
2010-08-13T04:06:59.000Z,-37.085,-73.428,17.6,4.3,mb,10,194.1,,,us,usp000hj1a,2014-11-07T01:42:13.853Z,"20 km NNW of Arauco, Chile",earthquake,,,,3,reviewed,guc,us
2010-08-13T02:15:39.000Z,-34.783,-71.745,43.3,3.6,m,4,173.9,,,us,usp000hj14,2014-11-07T01:42:13.837Z,"38 km WSW of Santa Cruz, Chile",earthquake,,,,,reviewed,guc,guc
2010-08-11T17:07:44.840Z,-34.719,-72.178,11.8,4.3,mb,15,116.3,,1.44,us,usp000hhyv,2014-11-07T01:42:13.157Z,"71 km NNE of Constitución, Chile",earthquake,,17,,2,reviewed,us,us
2010-08-09T15:51:04.610Z,-37.664,-73.3,37.2,4.5,mb,28,123.1,,0.96,us,usp000hhtq,2014-11-07T01:42:12.429Z,"17 km NNE of Cañete, Chile",earthquake,,12.6,,2,reviewed,us,us
2010-08-09T12:13:43.000Z,-38.717,-73.149,38.7,5,mb,124,63.2,,,us,usp000hhtg,2022-08-08T23:18:42.125Z,"1 km ESE of Carahue, Chile",earthquake,,,,73,reviewed,guc,us
2010-08-08T15:32:22.890Z,-35.038,-74.089,10,4.6,mb,33,71.9,,0.94,us,usp000hhs8,2014-11-07T01:42:12.229Z,"156 km WNW of Constitución, Chile",earthquake,,,,6,reviewed,us,us
2010-08-07T22:50:06.000Z,-37.226,-73.806,5.3,4.3,mb,23,169,,,us,usp000hhqv,2014-11-07T01:42:11.989Z,"43 km W of Arauco, Chile",earthquake,,,,4,reviewed,guc,us
2010-08-06T21:05:28.270Z,-38.255,-73.501,23,5,mb,76,64.5,,1,us,usp000hhpa,2022-07-18T18:05:52.822Z,"51 km S of Cañete, Chile",earthquake,,16.7,,28,reviewed,us,us
2010-08-06T15:15:51.000Z,-35.102,-72.593,17.9,4.4,mb,27,145.6,,,us,usp000hhnu,2014-11-07T01:42:11.697Z,"30 km NNW of Constitución, Chile",earthquake,,,,8,reviewed,guc,us
2010-08-05T17:49:44.370Z,-37.51,-73.521,22.2,4.6,mb,26,162.3,,0.93,us,usp000hhm1,2014-11-07T01:42:11.407Z,"15 km WSW of Curanilahue, Chile",earthquake,,13,,3,reviewed,us,us
2010-08-05T16:50:29.000Z,-34.84,-72.259,23.3,4.3,mb,8,175.2,,,us,usp000hhky,2014-11-07T01:42:11.392Z,"56 km NNE of Constitución, Chile",earthquake,,,,3,reviewed,guc,us
2010-08-05T06:38:51.430Z,-37.501,-73.449,35,4.7,mb,48,134.4,,0.82,us,usp000hhk1,2022-07-18T17:51:54.795Z,"9 km WSW of Curanilahue, Chile",earthquake,,,,20,reviewed,us,us
